tconst,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross,year
tt4468740,Paddington 2,Paddington 2,2017,103.0,"Adventure,Comedy,Family",7.9,46481.0,Paddington 2,WB,40900000.0,186400000,2018
tt4477536,Fifty Shades Freed,Fifty Shades Freed,2018,105.0,"Drama,Romance,Thriller",4.5,43893.0,Fifty Shades Freed,Uni.,100400000.0,271500000,2018
tt4483460,Argentina,Zonda: folclore argentino,2015,85.0,"Documentary,Musical",6.7,146.0,Argentina,FRun,14900.0,,2016
tt4494718,Final Portrait,Final Portrait,2017,90.0,"Biography,Comedy,Drama",6.3,3841.0,Final Portrait,SPC,462000.0,,2018
tt4501244,Why Him?,Why Him?,2016,111.0,Comedy,6.2,89628.0,Why Him?,Fox,60300000.0,57800000,2016
tt4501454,The Meddler,The Meddler,2015,103.0,"Comedy,Drama,Romance",6.3,10629.0,The Meddler,SPC,4300000.0,,2016
tt4505170,Detective K: Secret of the Lost Island,Joseon Myungtamjung: Nobui Ddal,2015,124.0,"Action,Adventure,Comedy",6.4,393.0,Detective K: Secret of the Lost Island,CJ,185000.0,,2015
tt4515684,The Treasure,Comoara,2015,89.0,Comedy,6.7,2357.0,The Treasure,SDS,50200.0,,2016
tt6182954,The Treasure,El-Kanz: El-Haqiqah wa el-Khayal 1,2017,157.0,"Action,Adventure,Drama",7.1,753.0,The Treasure,SDS,50200.0,,2016
tt4530422,Overlord,Overlord,2018,110.0,"Action,Adventure,Horror",6.7,56108.0,Overlord,Par.,21700000.0,20000000,2018
tt4535650,Dilwale,Dilwale,2015,158.0,"Action,Comedy,Romance",5.2,28990.0,Dilwale,UTV,4900000.0,,2015
tt4537896,White Boy Rick,White Boy Rick,2018,111.0,"Crime,Drama",6.4,16255.0,White Boy Rick,Studio 8,24000000.0,1900000,2018
tt4538916,Finding Your Feet,Finding Your Feet,2017,111.0,"Comedy,Drama,Music",6.7,4040.0,Finding Your Feet,RAtt.,1400000.0,,2018
tt4540710,Miss Sloane,Miss Sloane,2016,132.0,"Drama,Thriller",7.5,52788.0,Miss Sloane,EC,3500000.0,5600000,2016
tt4550098,Nocturnal Animals,Nocturnal Animals,2016,116.0,"Drama,Thriller",7.5,205240.0,Nocturnal Animals,Focus,10700000.0,19600000,2016
tt4552524,Jeruzalem,Jeruzalem,2015,94.0,Horror,4.7,7627.0,Jeruzalem,EpicPics,11300.0,,2016
tt4555426,Darkest Hour,Darkest Hour,2017,125.0,"Biography,Drama,History",7.4,136546.0,Darkest Hour,Focus,56500000.0,94400000,2017
tt4559006,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,2016,158.0,"Drama,Music,Musical",5.8,18481.0,Ae Dil Hai Mushkil,FIP,4300000.0,24100000,2016
tt4559046,Housefull 3,Housefull 3,2016,140.0,"Action,Comedy",5.2,6805.0,Housefull 3,Eros,1300000.0,,2016
tt4560436,Mile 22,Mile 22,2018,94.0,"Action,Adventure,Thriller",6.1,47862.0,Mile 22,STX,36100000.0,30200000,2018
tt4569240,A Monster with a Thousand Heads,Un monstruo de mil cabezas,2015,74.0,"Drama,Thriller",6.6,811.0,A Monster with a Thousand Heads,MBox,24900.0,,2016
tt4572514,Patriots Day,Patriots Day,2016,133.0,"Action,Crime,Drama",7.4,76204.0,Patriots Day,LGF,31900000.0,18700000,2016
tt4572856,Let's Get Married,Zan men jie hun ba,2015,127.0,"Comedy,Romance",5.6,140.0,Let's Get Married,CL,463000.0,,2015
tt4575930,Custody,Custody,2016,104.0,Drama,6.5,891.0,Custody,KL,83900.0,,2018
tt6002232,Custody,Jusqu'à la garde,2017,93.0,Drama,7.5,6089.0,Custody,KL,83900.0,,2018
tt4585660,Klown Forever,Klovn Forever,2015,99.0,"Comedy,Drama",6.2,3485.0,Klown Forever,Drft.,5700.0,,2016
tt4587656,The Star,The Star,2017,86.0,"Adventure,Animation,Comedy",6.1,5159.0,The Star,Sony,40900000.0,22000000,2017
tt4594834,Chi-Raq,Chi-Raq,2015,127.0,"Comedy,Crime,Drama",5.7,8130.0,Chi-Raq,RAtt.,2700000.0,,2015
tt4595882,Can You Ever Forgive Me?,Can You Ever Forgive Me?,2018,106.0,"Biography,Comedy,Crime",7.2,29473.0,Can You Ever Forgive Me?,FoxS,8800000.0,,2018
tt4602066,The Catcher Was a Spy,The Catcher Was a Spy,2018,98.0,"Biography,Drama,War",6.2,4653.0,The Catcher Was a Spy,IFC,725000.0,229000,2018
tt4613272,Kaili Blues,Lu bian ye can,2015,113.0,"Drama,Mystery",7.3,2038.0,Kaili Blues,Ghop,32200.0,,2016
tt4618398,Boruto: Naruto the Movie,Boruto: Naruto the Movie,2015,95.0,"Action,Adventure,Animation",8.0,7105.0,Boruto: Naruto the Movie,Elev.,920000.0,,2015
tt4621016,Ingrid Bergman: In Her Own Words,Jag är Ingrid,2015,114.0,"Biography,Documentary",7.4,1750.0,Ingrid Bergman: In Her Own Words,Rialto,138000.0,,2015
tt4622512,Battle of the Sexes,Battle of the Sexes,2017,121.0,"Biography,Comedy,Drama",6.7,43245.0,Battle of the Sexes,FoxS,12600000.0,,2017
tt4624424,Storks,Storks,2016,87.0,"Adventure,Animation,Comedy",6.8,50448.0,Storks,WB,72700000.0,110700000,2016
tt4629266,Born in China,Born in China,2016,79.0,Documentary,7.2,3028.0,Born in China,BV,13900000.0,11200000,2017
tt4630562,The Fate of the Furious,The Fate of the Furious,2017,136.0,"Action,Crime,Thriller",6.7,179774.0,The Fate of the Furious,Uni.,226000000.0,"1,010.0",2017
tt4645330,Denial,Denial,2016,109.0,"Biography,Drama",6.7,16593.0,Denial,BST,4099999.0,,2016
tt5897002,Denial,Denial,2016,93.0,Documentary,7.4,25.0,Denial,BST,4099999.0,,2016
tt4649416,Almost Christmas,Almost Christmas,2016,111.0,"Comedy,Drama",6.1,5212.0,Almost Christmas,Uni.,42200000.0,422000,2016
tt4649466,Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017,141.0,"Action,Adventure,Comedy",6.8,230797.0,Kingsman: The Golden Circle,Fox,100200000.0,310700000,2017
tt4651520,Bad Moms,Bad Moms,2016,100.0,Comedy,6.2,100952.0,Bad Moms,STX,113300000.0,70700000,2016
tt4653272,Buena Vista Social Club: Adios,Buena Vista Social Club: Adios,2017,110.0,Documentary,6.9,261.0,Buena Vista Social Club: Adios,BG,123000.0,578000,2017
tt4663548,All Saints,All Saints,2017,108.0,Drama,6.0,1220.0,All Saints,Affirm,5800000.0,140000,2017
tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016,92.0,Comedy,3.5,17189.0,Fifty Shades of Black,ORF,11700000.0,10500000,2016
tt4668808,What Our Fathers Did: A Nazi Legacy,My Nazi Legacy,2015,96.0,"Documentary,History",7.0,1054.0,What Our Fathers Did: A Nazi Legacy,Osci.,40100.0,,2015
tt4669264,Beirut,Beirut,2018,109.0,"Drama,Thriller",6.4,14988.0,Beirut,BST,5000000.0,2500000,2018
tt4669788,On the Basis of Sex,On the Basis of Sex,2018,120.0,"Biography,Drama",6.9,12083.0,On the Basis of Sex,Focus,24600000.0,13600000,2018
tt4682786,Collateral Beauty,Collateral Beauty,2016,97.0,"Drama,Romance",6.8,78764.0,Collateral Beauty,WB (NL),31000000.0,57500000,2016
tt4682788,Loving Pablo,Loving Pablo,2017,123.0,"Action,Biography,Crime",6.3,13988.0,Loving Pablo,Uni.,22000.0,,2018
tt4686844,The Death of Stalin,The Death of Stalin,2017,107.0,"Comedy,Drama,History",7.2,63156.0,The Death of Stalin,IFC,8000000.0,16600000,2018
tt4687848,Railroad Tigers,Railroad Tigers,2016,124.0,"Action,Comedy,War",5.9,3208.0,Railroad Tigers,WGUSA,218000.0,102000000,2017
tt4692234,Arabian Nights: Volume 2 - The Desolate One,"As Mil e Uma Noites: Volume 2, O Desolado",2015,131.0,Drama,7.2,1172.0,Arabian Nights: Volume 2 - The Desolate One,KL,6400.0,,2015
tt4692242,Arabian Nights: Volume 3 - The Enchanted One,"As Mil e Uma Noites: Volume 3, O Encantado",2015,125.0,Drama,6.5,928.0,Arabian Nights: Volume 3 - The Enchanted One,KL,4500.0,,2015
tt4693418,Back to the Jurassic,Back to the Jurassic,2015,86.0,Animation,5.0,300.0,Back to the Jurassic,CJ,4400.0,,2015
tt4696222,Northern Limit Line,Yeonpyeong haejeon,2015,130.0,"Drama,War",6.6,870.0,Northern Limit Line,WGUSA,338000.0,,2015
tt4698684,Hunt for the Wilderpeople,Hunt for the Wilderpeople,2016,101.0,"Adventure,Comedy,Drama",7.9,87532.0,Hunt for the Wilderpeople,Orch.,5200000.0,,2016
tt4701182,Bumblebee,Bumblebee,2018,114.0,"Action,Adventure,Sci-Fi",6.9,94155.0,Bumblebee,Par.,127200000.0,340800000,2018
tt4701702,Mr. Six,Lao pao er,2015,134.0,"Action,Drama",7.1,2838.0,Mr. Six,CL,1400000.0,137800000,2015
tt4701724,Early Man,Early Man,2018,89.0,"Adventure,Animation,Comedy",6.1,15882.0,Early Man,LGF,8300000.0,46400000,2018
tt4714782,Personal Shopper,Personal Shopper,2016,105.0,"Drama,Horror,Mystery",6.1,30636.0,Personal Shopper,IFC,1300000.0,,2017
tt4721400,From Afar,Desde allá,2015,93.0,"Drama,Romance",6.6,3023.0,From Afar,Strand,30200.0,,2016
tt4726636,Slack Bay,Ma Loute,2016,122.0,Comedy,6.0,3585.0,Slack Bay,KL,113000.0,,2017
tt4727712,Book Club,Book Club,2015,72.0,Documentary,6.6,9.0,Book Club,Par.,68600000.0,,2018
tt6857166,Book Club,Book Club,2018,104.0,"Comedy,Drama,Romance",6.1,18728.0,Book Club,Par.,68600000.0,,2018
tt4731136,A Cure for Wellness,A Cure for Wellness,2016,146.0,"Drama,Fantasy,Horror",6.4,70941.0,A Cure for Wellness,Fox,8100000.0,18500000,2017
tt4741774,The Son of Joseph,Le fils de Joseph,2016,113.0,Drama,6.6,613.0,The Son of Joseph,KL,30600.0,,2016
tt4744086,Ki & Ka,Ki & Ka,2016,126.0,"Comedy,Romance",5.8,4723.0,Ki & Ka,Eros,858000.0,,2016
tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,2018,92.0,"Crime,Horror,Mystery",5.9,13822.0,Unfriended: Dark Web,BH Tilt,8900000.0,6300000,2018
tt4765284,Pitch Perfect 3,Pitch Perfect 3,2017,93.0,"Comedy,Music",5.8,45127.0,Pitch Perfect 3,Uni.,104900000.0,80500000,2017
tt4768764,Veteran,Beterang,2015,123.0,"Action,Comedy,Crime",7.0,4049.0,Veteran,CJ,1200000.0,,2015
tt4768776,"Right Now, Wrong Then",Ji-geum-eun-mat-go-geu-ddae-neun-teul-li-da,2015,121.0,Drama,7.2,2921.0,"Right Now, Wrong Then",Ghop,24500.0,,2016
tt4769214,Whisky Galore,Whisky Galore,2016,98.0,"Comedy,Romance",5.7,854.0,Whisky Galore,Arrow,21000.0,,2017
tt4769824,In This Corner of the World,Kono sekai no katasumi ni,2016,129.0,"Animation,Drama,History",7.8,6069.0,In This Corner of the World,FUN,172000.0,,2017
tt4777584,One Week and a Day,Shavua ve Yom,2016,98.0,"Comedy,Drama",6.7,767.0,One Week and a Day,Osci.,41600.0,,2017
tt4779682,The Meg,The Meg,2018,113.0,"Action,Horror,Sci-Fi",5.7,114042.0,The Meg,WB,145400000.0,384800000,2018
tt4796122,Satanic,Satanic,2016,85.0,Horror,3.7,5381.0,Satanic,Magn.,300.0,,2016
tt4799050,Rough Night,Rough Night,2017,101.0,"Comedy,Crime,Thriller",5.2,39447.0,Rough Night,Sony,22100000.0,25200000,2017
tt4799066,Midnight Sun,Midnight Sun,2018,91.0,"Drama,Romance",6.6,16220.0,Midnight Sun,Global Road,9600000.0,17800000,2018
tt4814290,Te3n,Te3n,2016,136.0,"Drama,Mystery,Thriller",7.2,10027.0,Te3n,Rel.,332000.0,,2016
tt4819514,Go Away Mr. Tumor,Gun dan ba! Zhong liu jun,2015,85.0,"Comedy,Romance",6.6,878.0,Go Away Mr. Tumor,CL,287000.0,21500000,2015
tt4819544,Only You,Ming zhong zhu ding,2015,114.0,"Comedy,Romance",5.2,107.0,Only You,CL,61600.0,,2015
tt7531138,Only You,Only You,2018,119.0,"Drama,Romance",6.9,41.0,Only You,CL,61600.0,,2015
tt4819560,Saving Mr. Wu,Jie jiu Wu xian sheng,2015,105.0,"Action,Crime,Drama",6.7,1918.0,Saving Mr. Wu,UEP,92700.0,,2015
tt4819576,L.O.R.D: Legend of Ravaging Dynasties,Jue ji,2016,118.0,"Animation,Fantasy",4.9,811.0,L.O.R.D: Legend of Ravaging Dynasties,AR,350000.0,57700000,2016
tt4823538,La Boda de Valentina,La Boda de Valentina,2018,107.0,"Comedy,Romance",4.7,523.0,La Boda de Valentina,PNT,2800000.0,,2018
tt4824308,God's Not Dead 2,God's Not Dead 2,2016,120.0,Drama,4.4,10311.0,God's Not Dead 2,PFR,20800000.0,3700000,2016
tt4827986,The Sense of an Ending,The Sense of an Ending,2017,108.0,"Drama,Mystery",6.3,5001.0,The Sense of an Ending,CBS,1300000.0,,2017
tt4832640,Sultan,Sultan,2016,170.0,"Action,Drama,Sport",7.1,33371.0,Sultan,Yash,6200000.0,81100000,2016
tt4835086,We Are X,We Are X,2016,93.0,"Documentary,Music",7.7,773.0,We Are X,Drft.,45300.0,,2016
tt4846232,Good Time,Good Time,2017,101.0,"Crime,Drama,Thriller",7.3,52305.0,Good Time,A24,2000000.0,,2017
tt4846340,Hidden Figures,Hidden Figures,2016,127.0,"Biography,Drama,History",7.8,171131.0,Hidden Figures,Fox,169600000.0,66300000,2016
tt4849438,Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,2017,167.0,"Action,Drama",8.3,65656.0,Baahubali 2: The Conclusion,GrtIndia,20200000.0,234000000,2017
tt4853102,Batman: The Killing Joke,Batman: The Killing Joke,2016,76.0,"Action,Animation,Crime",6.5,42932.0,Batman: The Killing Joke,Fathom,3800000.0,,2016
tt4864932,Baaghi,Baaghi,2016,133.0,"Action,Thriller",5.2,5826.0,Baaghi,UTV,438000.0,,2016
tt4877122,The Emoji Movie,The Emoji Movie,2017,86.0,"Adventure,Animation,Comedy",3.2,47294.0,The Emoji Movie,Sony,86100000.0,131699999,2017
tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128.0,"Action,Adventure,Sci-Fi",6.2,219125.0,Jurassic World: Fallen Kingdom,Uni.,417700000.0,891800000,2018
tt4892714,Fall in Love Like a Star,Peng ran xing dong,2015,98.0,Romance,5.2,144.0,Fall in Love Like a Star,CL,213000.0,,2015
tt4897822,Where to Invade Next,Where to Invade Next,2015,120.0,"Comedy,Documentary",7.5,21497.0,Where to Invade Next,Drft.,3800000.0,,2016
tt4899406,Neon Bull,Boi Neon,2015,101.0,Drama,6.8,2314.0,Neon Bull,KL,26700.0,,2016
tt4907864,Mountain,Monte,2016,105.0,Drama,6.2,120.0,Mountain,Greenwich,365000.0,,2018
tt4917622,Mountain,Ha'har,2015,83.0,Drama,6.2,244.0,Mountain,Greenwich,365000.0,,2018
tt6128074,Mountain,Mountain,2015,88.0,MISSING,,,Mountain,Greenwich,365000.0,,2018
tt6203570,Mountain,Mountain,2017,74.0,Documentary,7.2,2529.0,Mountain,Greenwich,365000.0,,2018
tt8362680,Mountain,Mountain,2018,15.0,Documentary,,,Mountain,Greenwich,365000.0,,2018
tt4912910,Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018,147.0,"Action,Adventure,Thriller",7.8,233877.0,Mission: Impossible - Fallout,Par.,220200000.0,571000000,2018
tt4914580,The Age of Shadows,Mil-jeong,2016,140.0,"Action,Drama,Thriller",7.1,6514.0,The Age of Shadows,CJ,542000.0,,2016
tt4922692,"Kiki, Love to Love","Kiki, el amor se hace",2016,102.0,"Comedy,Romance",6.5,4731.0,"Kiki, Love to Love",Strand,12500.0,,2016
tt4925292,Lady Bird,Lady Bird,2017,94.0,"Comedy,Drama",7.4,177677.0,Lady Bird,A24,49000000.0,30000000,2017
tt4929038,The Ornithologist,O Ornitólogo,2016,117.0,"Adventure,Drama,Mystery",6.3,2426.0,The Ornithologist,Strand,50500.0,,2017
tt4932388,Let Yourself Go,Lasciati andare,2017,99.0,Comedy,6.1,749.0,Let Yourself Go,Men.,12200.0,,2018
tt4935446,Heart of a Dog,Heart of a Dog,2015,75.0,Documentary,7.1,1846.0,Heart of a Dog,Abr.,421000.0,,2015
tt4936450,Graduation,Bacalaureat,2016,128.0,"Crime,Drama",7.4,10355.0,Graduation,IFC,176000.0,,2017
tt8302256,Graduation,Graduation,2018,82.0,"Drama,Family",,,Graduation,IFC,176000.0,,2017
tt9778150,Graduation,Graduation,2018,112.0,Documentary,,,Graduation,IFC,176000.0,,2017
tt4937156,Our Last Tango,Un tango más,2015,85.0,"Documentary,Musical",7.2,537.0,Our Last Tango,Strand,100000.0,,2016
tt4944352,Heneral Luna,Heneral Luna,2015,118.0,"Action,Biography,History",7.7,1659.0,Heneral Luna,Abr.,206000.0,,2015
tt4950110,I'm Not Ashamed,I'm Not Ashamed,2016,112.0,"Biography,Drama",5.9,2778.0,I'm Not Ashamed,PFR,2100000.0,,2016
tt4958448,Museo,Museo,2018,128.0,"Crime,Drama",7.0,3323.0,Museo,Vita.,149000.0,,2018
tt4958468,Un Padre No Tan Padre,Un Padre No Tan Padre,2016,94.0,Comedy,6.9,976.0,Un Padre No Tan Padre,PNT,2200000.0,,2017
tt4971344,The Sisters Brothers,Les frères Sisters,2018,122.0,"Adventure,Comedy,Crime",7.0,32135.0,The Sisters Brothers,Annapurna,3100000.0,10000000,2018
tt4975498,The Advocate: A Missing Body,Seong-nan Byeon-ho-sa,2015,117.0,"Crime,Mystery",6.6,345.0,The Advocate: A Missing Body,CJ,50200.0,,2015
tt4977530,Viceroy's House,Viceroy's House,2017,106.0,"Biography,Drama,History",6.7,5546.0,Viceroy's House,IFC,1100000.0,6700000,2017
tt4978710,Marjorie Prime,Marjorie Prime,2017,99.0,"Drama,Mystery,Romance",6.3,4640.0,Marjorie Prime,FR,181000.0,,2017
tt4981636,Middle School: The Worst Years of My Life,Middle School: The Worst Years of My Life,2016,92.0,"Comedy,Family",6.1,6413.0,Middle School: The Worst Years of My Life,LGF,20000000.0,3300000,2016
tt4995858,Mandy,Mandy,2016,113.0,"Drama,Thriller",4.1,39.0,Mandy,RLJ,1200000.0,,2018
tt6998518,Mandy,Mandy,2018,121.0,"Action,Fantasy,Horror",6.6,44378.0,Mandy,RLJ,1200000.0,,2018
tt5001718,"Everything, Everything","Everything, Everything",2017,96.0,"Drama,Romance",6.4,26811.0,"Everything, Everything",WB,34100000.0,27500000,2017
tt5011290,So Young 2: Never Gone,Zhi qing chun 2: Yuan lai ni hai zai zhe li,2016,100.0,"Drama,Romance",5.3,584.0,So Young 2: Never Gone,CL,96400.0,,2016
tt5013056,Dunkirk,Dunkirk,2017,106.0,"Action,Drama,History",7.9,466580.0,Dunkirk,WB,188000000.0,337200000,2017
tt5023260,The Last Word,The Last Word,2017,108.0,"Comedy,Drama",6.6,6255.0,The Last Word,BST,1800000.0,,2017
tt5027774,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,115.0,"Crime,Drama",8.2,344047.0,"Three Billboards Outside Ebbing, Missouri",FoxS,54500000.0,104700000,2017
tt5028340,Mary Poppins Returns,Mary Poppins Returns,2018,130.0,"Comedy,Family,Fantasy",6.9,52103.0,Mary Poppins Returns,BV,172000000.0,177600000,2018
tt5029608,Frantz,Frantz,2016,113.0,"Drama,History,Romance",7.5,10609.0,Frantz,MBox,881000.0,,2017
tt5034276,The Phone,Deo Pon,2015,115.0,"Action,Mystery,Thriller",6.6,560.0,The Phone,CJ,40500.0,,2015
tt5049302,The Priests,Geomeun sajedeul,2015,103.0,"Mystery,Thriller",6.4,1303.0,The Priests,CJ,185000.0,,2015
tt5052448,Get Out,Get Out,2017,104.0,"Horror,Mystery,Thriller",7.7,400474.0,Get Out,Uni.,176000000.0,79400000,2017
tt5052474,Sicario: Day of the Soldado,Sicario: Day of the Soldado,2018,122.0,"Action,Crime,Drama",7.1,95650.0,Sicario: Day of the Soldado,Sony,50100000.0,25800000,2018
tt5061814,Goodbye Mr. Loser,Xia Luo te fan nao,2015,104.0,Comedy,6.7,1777.0,Goodbye Mr. Loser,CL,1300000.0,226800000,2015
tt6651330,Goodbye Mr. Loser,Goodbye Mr. Loser,2017,105.0,Comedy,7.2,14.0,Goodbye Mr. Loser,CL,1300000.0,226800000,2015
tt5071886,Kabali,Kabali,2016,153.0,"Action,Crime,Drama",6.3,10440.0,Kabali,CineGalaxy,3900000.0,,2016
tt5074352,Dangal,Dangal,2016,161.0,"Action,Biography,Drama",8.5,123638.0,Dangal,UTV,12400000.0,290500000,2016
tt5078134,A Woman's Life,Une vie,2016,119.0,Drama,6.5,806.0,A Woman's Life,KL,37600.0,,2017
tt5083738,The Favourite,The Favourite,2018,119.0,"Biography,Drama,History",7.6,116011.0,The Favourite,FoxS,34400000.0,61600000,2018
